103
Queso_sopo;50;sopo;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_Brie;50;brie;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_Azul;50;azul;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_Camembert;50;camembert;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_Emmental;50;emmental;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_Tilsit;50;tilsit;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Mezcla_Fondue;50;derretido;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_Provolone;50;provolone;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_Holandes_Celeb;50;holandes;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_holandes;50;holandes;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_Fundido;50;derretido;casa;High;almuerzo;cena;buena;leche;no;alimento;Estilo;;;;
Queso_Campesino;40;Campesino;casa;relax;Complemento;inter;moderada;leche;no;aditivo;mamas;;;;
Queso_Doblecrema;30;doblecrema;casa;relax;Complemento;inter;moderada;leche;no;aditivo;complice;mamas;parche;estilo;
Queso_Mozarella;30;Mozarella;casa;relax;Complemento;inter;moderada;leche;no;aditivo;complice;mamas;parche;estilo;
Queso_Sabana;40;Sabana;casa;relax;Complemento;inter;moderada;leche;no;aditivo;Estilo;;;;
Queso_Finesse;50;Finesse;casa;High;almuerzo;cena;alta;leche;no;alimento;Estilo;;;;
Frutto_Manzana;15;Manzana;Portable;Relax;desayuno;inter;buena;agua;no;bebida;mamas;;;;
Frutto_Pera;15;Pera;Portable;Relax;desayuno;inter;buena;agua;no;bebida;mamas;;;;
Frutto_Durazno;15;Durazno;Portable;Relax;desayuno;inter;buena;agua;no;bebida;mamas;;;;
Frutto_Desayuno;30;Desayuno;casa;Relax;desayuno;inter;buena;agua;no;bebida;mamas;;;;
Soka_Zero_Mora;20;Mora;Portable;Diversion;Complemento;inter;buena;agua;no;bebida;mamas;estilo;complice;;
Soka_Zero_Maracuya;20;Maracuya;Portable;Diversion;Complemento;inter;buena;agua;no;bebida;mamas;estilo;complice;;
Soka_Zero_Mango;20;Mango;Portable;Diversion;Complemento;inter;buena;agua;no;bebida;mamas;estilo;complice;;
Soka_Zero_Mandarina;20;Mandarina;Portable;Diversion;Complemento;inter;buena;agua;no;bebida;mamas;estilo;complice;;
Soka_Mora;15;Mora;Portable;Diversion;Complemento;inter;poca;agua;si;bebida;mamas;parche;complice;;
Soka_Mandarina;15;Mandarina;Portable;Diversion;Complemento;inter;poca;agua;si;bebida;mamas;parche;complice;;
Soka_Maracuya;15;Maracuya;Portable;Diversion;Complemento;inter;poca;agua;si;bebida;mamas;parche;complice;;
Frupper_Fresa;15;Fresa;Portable;Diversion;Complemento;inter;poca;agua;si;bebida;mamas;complice;;;
Frupper_Mango;15;Mango;Portable;Diversion;Complemento;inter;poca;agua;si;bebida;mamas;complice;;;
Frupper_Mora;15;Mora;Portable;Diversion;Complemento;inter;poca;agua;si;bebida;mamas;complice;;;
Alpifrut;20;Naranja;casa;Relax;Complemento;desayuno;buena;agua;no;bebida;mamas;estilo;;;
Alpina_Almendras;35;Almendras;casa;High;Complemento;desayuno;alta;leche;no;bebida;Estilo;complice;;;
Compotas;35;Compotas;Portable;amor;Comida;inter;alta;agua;no;alimento;mamas;;;;
Papillas;40;Papillas;Portable;amor;Comida;inter;alta;agua;no;alimento;mamas;;;;
Yogurt_baby;35;baby;Portable;amor;Comida;inter;alta;agua;no;alimento;mamas;;;;
Baby_3;35;polvo;casa;amor;inter;complemento;alta;agua;no;alimento;mamas;;;;
Flan;40;Flan;Portable;Relax;post;snack;moderada;leche;si;postre;Estilo;complice;;;
Alpinette;30;Alpinette;Portable;Relax;post;snack;moderada;leche;si;postre;mamas;complice;parche;;
Gelatina Boggy;20;Boggy;Portable;Diversion;post;snack;buena;agua;si;alimento;mamas;parche;;;
MiniBY_Chococandy;20;Chococandy;Portable;cool;desayuno;snack;buena;leche;no;postre;mamas;estilo;;;
MiniBY_FrootLoops;20;FrootLoops;Portable;cool;desayuno;snack;buena;leche;no;postre;mamas;estilo;;;
MiniBY_Zucaritas;20;chocolate;Portable;cool;desayuno;snack;buena;leche;no;postre;mamas;estilo;;;
Pudin_choco;30;chocolate;Portable;Relax;post;snack;moderada;leche;si;postre;Estilo;complice;;;
Pundin_Vainilla;30;Vainilla;Portable;Relax;post;snack;moderada;leche;si;postre;Estilo;complice;;;
Regeneris_Trozos;35;fruta;Portable;salud;snack;post;alta;leche;no;alimento;Estilo;complice;;;
Alimento_Finesse;40;Finesse;Portable;salud;snack;post;alta;leche;no;alimento;Estilo;;;;
Avena_Finesse;35;Finesse;Portable;salud;snack;post;alta;leche;no;bebida;Estilo;;;;
Crema_Leche_Finesse;25;Finesse;casa;salud;Complemento;postre;alta;leche;no;aditivo;Estilo;;;;
Musli_Finesse;40;Finesse;Portable;salud;desayuno;snack;alta;leche;no;alimento;Estilo;;;;
Griego_Finesse;40;Finesse;Portable;salud;desayuno;snack;alta;leche;no;alimento;Estilo;;;;
Queso_Finesse_Deslac;40;Deslac;casa;salud;almuerzo;cena;alta;leche;no;alimento;Estilo;;;;
Queso_Finesse_Snack;40;Snack;casa;salud;almuerzo;cena;alta;leche;no;alimento;Estilo;;;;
Queso_Untar_Finesse;40;Finesse;casa;salud;almuerzo;cena;alta;leche;no;alimento;Estilo;;;;
